index,label,float_hls_pred,float_python_pred,float_max_abs_logit_error,fixed_hls_pred,fixed_python_pred,fixed_raw_mismatch,fixed_max_abs_raw_diff
61,8,8,8,1.949462889783149e-06,8,8,0,0
62,9,9,9,9.531860349909493e-07,9,9,0,0
63,3,3,3,1.952587890485802e-06,3,3,0,0
64,7,7,7,5.7490722653597e-06,7,7,0,0
65,4,4,4,2.8658740234277502e-06,4,4,0,0
66,6,6,6,9.57763671038947e-07,6,6,0,0
67,4,4,4,1.96662765505895e-06,4,4,0,0
68,3,3,3,3.830554199169001e-06,3,3,0,0
69,0,0,0,1.9345092781009043e-06,0,0,0,0
70,7,7,7,1.9502197261545007e-06,7,7,0,0
71,0,0,0,2.865942382968001e-06,0,0,0,0
72,2,2,2,1.4268823242957751e-06,2,2,0,0
73,9,9,9,1.9178710921607944e-06,9,9,0,0
74,1,1,1,9.567126468823517e-07,1,1,0,0
75,7,7,7,1.4335662843478758e-06,7,7,0,0
76,3,3,3,9.842895511980032e-07,3,3,0,0
77,2,2,2,2.817980957914301e-06,2,2,0,0
78,9,9,9,1.5869959751127483e-06,9,9,0,0
79,7,7,7,1.950561522079397e-06,7,7,0,0
80,7,7,7,1.1898559570955314e-06,7,7,0,0
81,6,6,6,9.5842529290735e-07,6,6,0,0
82,2,2,2,2.8647619627619747e-06,2,2,0,0
83,7,7,7,9.854003906184516e-07,7,7,0,0
84,8,8,8,1.8777430267347128e-06,8,8,0,0
85,4,4,4,3.853173829782008e-06,4,4,0,0
86,7,7,7,1.915600584823096e-06,7,7,0,0
87,3,3,3,2.8519409180916e-06,3,3,0,0
88,6,6,6,2.856440429965801e-06,6,6,0,0
89,1,1,1,1.9088781737508498e-06,1,1,0,0
90,3,3,3,1.8635498051366994e-06,3,3,0,0
91,6,6,6,1.933728027481152e-06,6,6,0,0
92,9,9,9,1.4321521000226767e-06,9,9,0,0
93,3,3,3,1.9161376947351982e-06,3,3,0,0
94,1,1,1,1.4345703123197495e-06,1,1,0,0
95,4,4,4,1.909326171833925e-06,4,4,0,0
96,1,1,1,1.9110253912657527e-06,1,1,0,0
97,7,7,7,1.910642088986947e-06,7,7,0,0
98,6,6,6,9.5162475588495e-07,6,6,0,0
99,9,9,9,1.9140502924841485e-06,9,9,0,0
100,6,6,6,2.3876647947673746e-06,6,6,0,0
101,0,0,0,1.430686035419626e-06,0,0,0,0
102,5,5,5,3.787182617287499e-06,5,5,0,0
103,4,4,4,1.9055017093094762e-06,4,4,0,0
104,9,9,9,9.389404294068981e-07,9,9,0,0
105,9,9,9,1.6098141785159115e-06,9,9,0,0
106,2,2,2,1.9178100583161495e-06,2,2,0,0
107,1,1,1,1.1323891601633385e-06,1,1,0,0
108,9,9,9,1.942883301353504e-06,9,9,0,0
109,4,4,4,2.8597241215067015e-06,4,4,0,0
110,8,8,8,1.903311157125387e-06,8,8,0,0
111,7,7,7,1.9059545905975028e-06,7,7,0,0
112,3,3,3,1.9276245115662505e-06,3,3,0,0
113,9,9,9,2.898217774216505e-06,9,9,0,0
114,7,7,7,1.905821533476626e-06,7,7,0,0
115,4,4,4,1.428658447544251e-06,4,4,0,0
116,4,4,4,1.434552001633449e-06,4,4,0,0
117,4,4,4,2.8162963872091495e-06,4,4,0,0
118,9,9,9,1.906115722150048e-06,9,9,0,0
119,2,2,2,9.57387694455747e-07,2,2,0,0
120,5,5,5,1.938586425609401e-06,5,5,0,0
121,4,4,4,1.1888244628721623e-06,4,4,0,0
122,7,7,7,1.9408935543197003e-06,7,7,0,0
123,6,6,6,2.8578906245968483e-06,6,6,0,0
124,7,7,7,3.8256591796681505e-06,7,7,0,0
125,9,9,9,9.593872078994536e-07,9,9,0,0
126,0,0,0,1.9134521487274014e-06,0,0,0,0
127,5,5,5,2.9083740233915023e-06,5,5,0,0
128,8,8,8,2.864208983766048e-06,8,8,0,0
129,5,5,5,2.864221190890248e-06,5,5,0,0
130,6,6,6,3.7687744143255486e-06,6,6,0,0
131,6,6,6,3.825805663382198e-06,6,6,0,0
132,5,5,5,2.8578771971154993e-06,5,5,0,0
133,7,7,7,1.9570434570681527e-06,7,7,0,0
134,8,8,8,9.574157715519505e-07,8,8,0,0
135,1,1,1,2.865944823682298e-06,1,1,0,0
136,0,0,0,9.964477545310046e-07,0,0,0,0
137,1,1,1,1.910367431356974e-06,1,1,0,0
138,6,6,6,1.9112695310852246e-06,6,6,0,0
139,4,4,4,1.9055053712691006e-06,4,4,0,0
140,6,6,6,1.91092773427215e-06,6,6,0,0
141,7,7,7,1.9086035156767878e-06,7,7,0,0
142,3,3,3,1.9447265628969035e-06,3,3,0,0
143,1,1,1,1.6705157470653376e-06,1,1,0,0
144,7,7,7,9.58486938262837e-07,7,7,0,0
145,1,1,1,1.9041918939421976e-06,1,1,0,0
146,8,8,8,2.8614721685471523e-06,8,8,0,0
147,2,2,2,1.9093054195451487e-06,2,2,0,0
148,0,0,0,2.864831542659374e-06,0,0,0,0
149,2,2,2,1.9055151367908252e-06,2,2,0,0
150,9,9,9,1.9029052733543494e-06,9,9,0,0
151,9,9,9,1.9542724594145966e-06,9,9,0,0
152,5,5,5,1.908666992456176e-06,5,5,0,0
153,5,5,5,1.4281384279613007e-06,5,5,0,0
154,1,1,1,1.4298815917968e-06,1,1,0,0
155,5,5,5,3.3345776371263014e-06,5,5,0,0
156,6,6,6,1.9039770506878995e-06,6,6,0,0
157,0,0,0,1.0725222473473295e-06,0,0,0,0
158,3,3,3,1.8651611330966489e-06,3,3,0,0
159,4,4,4,1.43542236319405e-06,4,4,0,0
160,4,4,4,1.4320544430290738e-06,4,4,0,0
161,6,6,6,2.891564941265301e-06,6,6,0,0
162,5,5,5,2.83028564496135e-06,5,5,0,0
163,4,4,4,1.9074035648714016e-06,4,4,0,0
164,6,6,6,2.6233782959295127e-06,6,6,0,0
165,5,5,5,5.732397461599703e-06,5,5,0,0
166,4,4,4,9.838256840311033e-07,4,4,0,0
167,5,5,5,1.429497070049024e-06,5,5,0,0
168,1,1,1,1.909758299944997e-06,1,1,0,0
169,4,4,4,1.93552246052775e-06,4,4,0,0
170,4,4,4,1.935693358490198e-06,4,4,0,0
171,7,7,7,1.922460938885706e-06,7,7,0,0
172,2,2,2,2.818542480298447e-06,2,2,0,0
173,3,3,3,1.934667968939152e-06,3,3,0,0
174,2,2,2,1.917993163402798e-06,2,2,0,0
175,7,7,7,1.1946087647984882e-06,7,7,0,0
176,1,1,1,1.1921351013022274e-06,1,1,0,0
177,8,8,8,9.772460938251015e-07,8,8,0,0
178,1,1,1,9.472534188148529e-07,1,1,0,0
179,8,8,8,2.3875598147427013e-06,8,8,0,0
180,1,1,1,9.56818848152352e-07,1,1,0,0
181,8,8,8,4.289754638620025e-06,8,8,0,0
182,5,5,5,9.564965823827265e-07,5,5,0,0
183,0,0,0,9.898193358282015e-07,0,0,0,0
184,8,8,8,3.5808184812857746e-06,8,8,0,0
185,9,9,9,2.8603027342199994e-06,9,9,0,0
186,2,2,2,3.8067871095393002e-06,2,2,0,0
187,5,5,5,1.8931884770978513e-06,5,5,0,0
188,0,0,0,1.8741699214785967e-06,0,0,0,0
189,1,1,1,9.546630863610517e-07,1,1,0,0
190,1,1,1,1.9067077632328733e-06,1,1,0,0
191,1,1,1,1.910124511894651e-06,1,1,0,0
192,0,0,0,2.8656787112169013e-06,0,0,0,0
193,9,9,9,1.3704514465473494e-06,9,9,0,0
194,0,0,0,1.8830444332706975e-06,0,0,0,0
195,3,3,3,9.561914069422528e-07,3,3,0,0
196,1,1,1,1.4341674805518068e-06,1,1,0,0
197,6,6,6,1.9320556639002007e-06,6,6,0,0
198,4,4,4,4.746569823410596e-06,4,4,0,0
199,2,2,2,1.909589844473203e-06,2,2,0,0
200,3,3,3,2.8420776363446976e-06,3,3,0,0
201,6,6,6,1.8882080077275987e-06,6,6,0,0
202,1,1,1,2.3850939943059757e-06,1,1,0,0
203,1,1,1,1.429243163819649e-06,1,1,0,0
204,1,1,1,1.4282336424642494e-06,1,1,0,0
205,3,3,3,2.879785157006154e-06,3,3,0,0
206,9,9,9,2.863244628059647e-06,9,9,0,0
207,5,5,5,1.0207729042033264e-06,5,5,0,0
208,2,2,2,1.8691406253878995e-06,2,2,0,0
209,9,9,9,2.4137111663824484e-06,4,4,0,0
210,4,4,4,1.9036303715580516e-06,4,4,0,0
211,5,5,5,1.8815185551801505e-06,5,5,0,0
212,9,9,9,1.939318847732352e-06,9,9,0,0
213,3,3,3,1.0582928237912181e-06,3,3,0,0
214,9,9,9,1.906249998739895e-06,9,9,0,0
215,0,0,0,1.6685986328202063e-06,0,0,0,0
216,3,3,3,2.146012695325439e-06,3,3,0,0
217,6,6,6,3.33290527354535e-06,6,6,0,0
218,5,5,5,1.9090100096263996e-06,5,5,0,0
219,5,5,5,1.909179687231699e-06,5,5,0,0
220,7,7,7,1.9077221677932243e-06,7,7,0,0
221,2,2,2,2.8641333003065483e-06,2,2,0,0
222,2,2,2,1.922680663568599e-06,2,2,0,0
223,7,7,7,1.954589844643806e-06,7,7,0,0
224,1,1,1,9.541198728868494e-07,1,1,0,0
225,2,2,2,1.4335070801507754e-06,2,2,0,0
226,8,8,8,1.911298828538577e-06,8,8,0,0
227,4,4,4,1.4300440673853387e-06,4,4,0,0
228,1,1,1,2.8564721681334504e-06,1,1,0,0
229,7,7,7,1.8656372073877492e-06,7,7,0,0
230,3,3,3,1.9095849612682514e-06,3,3,0,0
231,3,3,3,9.818359369972995e-07,3,3,0,0
232,8,8,8,2.832214354597795e-06,8,8,0,0
233,8,8,8,1.904633789351351e-06,8,8,0,0
234,7,7,7,1.9411376968037075e-06,7,7,0,0
235,9,9,9,1.4278558349012371e-06,9,9,0,0
236,2,2,2,2.865766601800601e-06,2,2,0,0
237,2,2,2,2.147412109465563e-06,2,2,0,0
238,4,4,4,2.6210260011261255e-06,4,4,0,0
239,1,1,1,1.9037719720671475e-06,1,1,0,0
240,5,5,5,2.3863061526796514e-06,5,5,0,0
241,9,9,9,2.8601855470711257e-06,9,9,0,0
242,8,8,8,1.9382324225603043e-06,8,8,0,0
243,7,7,7,3.828613280631998e-06,7,7,0,0
244,2,2,2,1.4298278809832254e-06,2,2,0,0
245,3,3,3,2.856674804263548e-06,3,3,0,0
246,0,0,0,1.4290258789628751e-06,0,0,0,0
247,4,4,4,1.9059667977217032e-06,4,4,0,0
248,4,4,4,2.8649218748455496e-06,4,4,0,0
249,2,2,2,9.584838860376976e-07,2,2,0,0
250,4,4,4,1.8920898430252464e-06,4,4,0,0
251,1,1,1,9.560754392623494e-07,1,1,0,0
252,9,9,9,2.8463378907161996e-06,9,9,0,0
253,5,5,5,1.908751831258826e-06,5,5,0,0
254,7,7,7,1.9051904303069023e-06,7,7,0,0
255,7,7,7,5.760278320110501e-06,7,7,0,0
256,2,2,2,2.623732910045362e-06,2,2,0,0
257,8,8,8,1.9031298830185506e-06,8,8,0,0
258,2,2,2,2.8971679686407015e-06,2,2,0,0
259,6,6,6,3.3385302735666755e-06,6,6,0,0
260,8,8,8,1.9040917962342974e-06,8,8,0,0
261,5,5,5,2.815808105793849e-06,5,5,0,0
262,7,7,7,1.8623535140704917e-06,7,7,0,0
263,7,7,7,1.922753906313801e-06,7,7,0,0
264,9,9,9,9.77563477277954e-07,9,9,0,0
265,1,1,1,1.9033886715646986e-06,1,1,0,0
266,8,8,8,2.8835937495585995e-06,8,8,0,0
267,1,1,1,2.8616796878822015e-06,1,1,0,0
268,8,8,8,3.8136767575025488e-06,8,8,0,0
269,0,0,0,2.8588757325920255e-06,0,0,0,0
270,3,3,3,3.864453123725298e-06,3,3,0,0
271,0,0,0,1.9327514646505506e-06,0,0,0,0
272,1,1,1,1.4318273926505753e-06,1,1,0,0
273,9,9,9,2.3852966304360734e-06,9,9,0,0
274,9,9,9,1.926806641350254e-06,9,9,0,0
275,4,4,4,1.4308410642982494e-06,4,4,0,0
276,1,1,1,3.815830078579552e-06,1,1,0,0
277,8,8,8,2.865427246590002e-06,8,8,0,0
278,2,2,2,2.876696777676102e-06,2,2,0,0
279,1,1,1,9.546643067182004e-07,1,1,0,0
280,2,2,2,1.432176513382899e-06,2,2,0,0
281,9,9,9,2.3837231442058737e-06,9,9,0,0
282,7,7,7,1.698672027594661e-06,7,7,0,0
283,5,5,5,1.4325378421276014e-06,5,5,0,0
284,9,9,9,1.9147583003586988e-06,9,9,0,0
285,2,2,2,1.4354962156737372e-06,2,2,0,0
286,6,6,6,9.975830081998538e-07,6,6,0,0
287,4,4,4,9.532128899536474e-07,4,4,0,0
288,1,1,1,1.9040014649363002e-06,1,1,0,0
289,5,5,5,1.9197509768531518e-06,5,5,0,0
290,8,8,8,4.770944824983303e-06,8,8,0,0
291,2,2,2,1.9475463872709042e-06,2,2,0,0
292,9,9,9,2.8572216788091964e-06,9,9,0,0
293,2,2,2,2.861843261925401e-06,2,2,0,0
294,0,0,0,1.938122558442501e-06,0,0,0,0
295,4,4,4,1.9221923821532982e-06,4,4,0,0
296,0,0,0,1.8974487296929965e-06,0,0,0,0
297,0,0,0,9.902954101193018e-07,0,0,0,0
298,2,2,2,2.874462889934648e-06,2,2,0,0
299,8,8,8,2.857673340628253e-06,8,8,0,0
300,4,4,4,2.3804504394320247e-06,4,4,0,0
301,7,7,7,4.739074707771351e-06,7,7,0,0
302,1,1,1,9.563232419296241e-07,1,1,0,0
303,2,2,2,1.9042553702774967e-06,2,2,0,0
304,4,4,4,1.8678222666324018e-06,4,4,0,0
305,0,0,0,1.9157348631893e-06,0,0,0,0
306,2,2,2,1.9122875976052e-06,2,2,0,0
307,7,7,7,1.8995117194720024e-06,7,7,0,0
308,4,4,4,1.905749511976751e-06,4,4,0,0
309,3,3,3,2.864136963154351e-06,3,3,0,0
310,3,3,3,1.4600968780698054e-06,3,3,0,0
311,0,0,0,1.908469848599381e-06,0,0,0,0
312,0,0,0,2.1469808959562187e-06,0,0,0,0
313,3,3,3,1.9111486819767265e-06,3,3,0,0
314,1,1,1,1.9024536133116499e-06,1,1,0,0
315,9,9,9,1.919653319859549e-06,9,9,0,0
316,6,6,6,1.9058618168088515e-06,6,6,0,0
317,5,5,5,9.652587884545483e-07,5,5,0,0
318,2,2,2,1.9315795896091004e-06,2,2,0,0
319,5,5,5,2.8730102545893033e-06,5,5,0,0
320,9,9,9,1.3709264831129886e-06,9,9,0,0
321,2,2,2,2.3836401368271254e-06,2,2,0,0
322,9,9,9,1.9054565427722991e-06,9,9,0,0
323,3,3,3,2.8905273445900548e-06,3,3,0,0
324,0,0,0,1.435083007983451e-06,0,0,0,0
325,4,4,4,1.9047753907486253e-06,4,4,0,0
326,2,2,2,1.9121911618569243e-06,2,2,0,0
327,0,0,0,1.9114318847712752e-06,0,0,0,0
328,7,7,7,1.8576538085568473e-06,7,7,0,0
329,1,1,1,1.4350537105300987e-06,1,1,0,0
330,1,1,1,1.9107836912723997e-06,1,1,0,0
331,2,2,2,1.8755859372276973e-06,2,2,0,0
332,1,1,1,1.9031652831458246e-06,1,1,0,0
333,5,5,5,1.878369140229097e-06,5,5,0,0
334,3,3,3,1.9285156245274493e-06,3,3,0,0
335,3,3,3,2.3827606201454188e-06,3,3,0,0
336,9,9,9,1.953857422520855e-06,9,9,0,0
337,7,7,7,1.943310547147803e-06,7,7,0,0
338,8,8,8,2.030555114718169e-06,8,8,0,0
339,6,6,6,1.9100860595422375e-06,6,6,0,0
340,5,5,5,2.3877154542439882e-06,5,5,0,0
341,6,6,6,5.983526611963441e-07,6,6,0,0
342,1,1,1,5.062109832976169e-07,1,1,0,0
343,3,3,3,1.9033007809809988e-06,3,3,0,0
344,8,8,8,2.8593310545943496e-06,8,8,0,0
345,1,1,1,2.379208984493175e-06,1,1,0,0
346,0,0,0,2.8655615231798492e-06,0,0,0,0
347,5,5,5,4.414530029306363e-06,5,5,0,0
348,1,1,1,3.814493408249575e-06,1,1,0,0
349,3,3,3,2.1503979490411496e-06,3,3,0,0
350,1,1,1,2.8458618164250993e-06,1,1,0,0
351,5,5,5,1.945898436161997e-06,5,5,0,0
352,5,5,5,2.6206262209171882e-06,5,5,0,0
353,6,6,6,1.9209472661430027e-06,6,6,0,0
354,1,1,1,3.8163452149575505e-06,1,1,0,0
355,8,8,8,2.8622290040303255e-06,8,8,0,0
356,5,5,5,2.830175780843547e-06,5,5,0,0
357,1,1,1,9.517132566472242e-07,1,1,0,0
358,7,7,7,1.9444580079408524e-06,7,7,0,0
359,9,9,9,2.8368530280431514e-06,9,9,0,0
360,4,4,4,1.9491943366034548e-06,4,4,0,0
361,6,6,6,2.884680176507004e-06,6,6,0,0
362,2,2,2,1.0026855470357532e-06,2,2,0,0
363,2,2,2,1.4318823238212985e-06,2,2,0,0
364,5,5,5,1.9113110347745987e-06,5,5,0,0
365,0,0,0,2.8617700191801987e-06,0,0,0,0
366,6,6,6,1.4306750486525743e-06,6,6,0,0
367,5,5,5,1.9050744626269989e-06,5,5,0,0
368,6,6,6,9.75402832281702e-07,6,6,0,0
369,3,3,3,1.4333764646323743e-06,3,3,0,0
370,7,7,7,1.885595704465004e-06,7,7,0,0
371,2,2,2,2.8657690425148985e-06,2,2,0,0
372,0,0,0,1.943041992191752e-06,0,0,0,0
373,8,8,8,3.8191601561266e-06,8,8,0,0
374,8,8,8,2.8577734374479746e-06,8,8,0,0
375,5,5,5,1.909572754144051e-06,5,5,0,0
376,4,4,4,2.883288575006304e-06,4,4,0,0
377,1,1,1,9.573132322415745e-07,1,1,0,0
378,1,1,1,1.9039050291880244e-06,1,1,0,0
379,4,4,4,1.071084594794769e-06,4,4,0,0
380,0,0,0,1.6712860109180383e-06,0,0,0,0
381,3,3,3,3.827380371745903e-06,3,3,0,0
382,3,3,3,3.852661134118307e-06,3,3,0,0
383,7,7,7,5.675585939002303e-06,7,7,0,0
384,6,6,6,1.9113647464763517e-06,6,6,0,0
385,1,1,1,9.557080078437252e-07,1,1,0,0
386,6,6,6,1.9071069337073254e-06,6,6,0,0
387,2,2,2,1.9132568365165525e-06,2,2,0,0
388,1,1,1,9.519543455738244e-07,1,1,0,0
389,9,9,9,2.8694824223407522e-06,9,9,0,0
390,2,2,2,2.8777099601029477e-06,2,2,0,0
391,8,8,8,1.5529702759309316e-06,8,8,0,0
392,6,6,6,1.189638061616094e-06,6,6,0,0
393,1,1,1,9.583416749059381e-07,1,1,0,0
394,9,9,9,9.831054690323526e-07,9,9,0,0
395,5,5,5,2.621336669950125e-06,5,5,0,0
396,2,2,2,9.954833988246037e-07,2,2,0,0
397,5,5,5,2.384972534130725e-06,5,5,0,0
398,4,4,4,2.82283935604255e-06,4,4,0,0
399,4,4,4,1.1959692383101128e-06,4,4,0,0
400,2,2,2,1.9065039058574484e-06,2,2,0,0
401,8,8,8,1.6670745850433377e-06,8,8,0,0
402,3,3,3,2.8410156254210506e-06,3,3,0,0
403,8,8,8,1.9086352542885265e-06,8,8,0,0
404,2,2,2,1.9114013674048635e-06,2,2,0,0
405,4,4,4,1.9034777833937255e-06,4,4,0,0
406,5,5,5,2.8585815421422467e-06,5,5,0,0
407,0,0,0,1.9100122070625503e-06,0,0,0,0
408,3,3,3,2.8633666993016504e-06,3,3,0,0
409,1,1,1,2.145692443944469e-06,1,1,0,0
410,7,7,7,9.552136228663244e-07,7,7,0,0
411,7,7,7,1.9048608397298494e-06,7,7,0,0
412,5,3,3,1.8804199211075456e-06,3,3,0,0
413,7,7,7,2.381151123387326e-06,7,7,0,0
414,9,9,9,8.342206421207976e-07,9,9,0,0
415,7,7,7,1.900061034731948e-06,7,7,0,0
416,1,1,1,1.9100415040718133e-06,1,1,0,0
417,9,9,9,2.3848059083064754e-06,9,9,0,0
418,2,2,2,3.8096313481617017e-06,2,2,0,0
419,1,1,1,9.498815920494508e-07,1,1,0,0
420,4,4,4,9.552038573445998e-07,4,4,0,0
421,2,2,2,1.0129540710668294e-06,2,2,0,0
422,9,9,9,1.950463866862151e-06,9,9,0,0
423,2,2,2,2.8871948245523527e-06,2,2,0,0
424,0,0,0,1.8849975589319001e-06,0,0,0,0
425,4,4,4,1.908581543474952e-06,4,4,0,0
426,9,9,9,1.4298388668620987e-06,9,9,0,0
427,1,1,1,1.4319116212746508e-06,1,1,0,0
428,4,4,4,1.431966552445374e-06,4,4,0,0
429,8,8,8,1.9066772463105508e-06,8,8,0,0
430,1,1,1,1.6643170166474874e-06,1,1,0,0
431,8,8,8,9.548703003847692e-07,8,8,0,0
432,4,4,4,2.3855004886996767e-06,4,4,0,0
433,5,5,5,1.948510742977305e-06,5,5,0,0
434,9,9,9,3.3343591310242005e-06,9,9,0,0
435,8,8,8,1.9199340819398003e-06,8,8,0,0
436,8,8,8,2.3543803566034027e-06,8,8,0,0
437,3,3,3,3.791040038336746e-06,3,3,0,0
438,7,7,7,1.9061999507741234e-06,7,7,0,0
439,6,6,6,1.4324853516711755e-06,6,6,0,0
440,0,0,0,1.1930487060496375e-06,0,0,0,0
441,0,0,0,1.8481832733119319e-06,0,0,0,0
442,3,3,3,1.434669189670501e-06,3,3,0,0
443,0,0,0,9.530407716340505e-07,0,0,0,0
444,2,2,2,1.4344128418386504e-06,2,2,0,0
445,6,0,0,1.9036450193965493e-06,0,0,0,0
446,6,6,6,1.910473633515153e-06,6,6,0,0
447,4,4,4,3.818177490622077e-06,4,4,0,0
448,9,9,9,2.387254638414049e-06,9,9,0,0
449,3,3,3,9.824951163750484e-07,3,3,0,0
450,3,3,3,2.865417480180099e-06,3,3,0,0
451,3,3,3,3.775146485196501e-06,3,3,0,0
452,2,2,2,1.4345849610464256e-06,2,2,0,0
453,3,3,3,1.9070776371421516e-06,3,3,0,0
454,9,9,9,2.2651535034334813e-06,9,9,0,0
455,1,1,1,2.3880187987046497e-06,1,1,0,0
456,2,2,2,1.9071142585147527e-06,2,2,0,0
457,6,6,6,2.8597753907178003e-06,6,6,0,0
458,8,8,8,2.859002685262624e-06,8,8,0,0
459,0,0,0,1.903981933892851e-06,0,0,0,0
460,5,5,5,1.9067163083974492e-06,5,5,0,0
461,6,6,6,1.426657714631574e-06,6,6,0,0
462,6,6,6,3.3397949215085987e-06,6,6,0,0
463,6,6,6,3.833813476461501e-06,6,6,0,0
464,3,3,3,1.3157095337668068e-06,3,3,0,0
465,8,8,8,2.8650488284043263e-06,8,8,0,0
466,8,8,8,1.9044592285411e-06,8,8,0,0
467,2,2,2,3.81259765624975e-06,2,2,0,0
468,7,7,7,1.4323852539632753e-06,7,7,0,0
469,5,5,5,2.8970947258954993e-06,5,5,0,0
470,8,8,8,2.3844653318505493e-06,8,8,0,0
471,9,9,9,1.911876220894726e-06,9,9,0,0
472,6,6,6,2.388989257973151e-06,6,6,0,0
473,1,1,1,9.528442381778746e-07,1,1,0,0
474,8,8,8,2.739444580068806e-06,8,8,0,0
475,4,4,4,3.814123534340297e-06,4,4,0,0
476,1,1,1,2.8597216790160473e-06,1,1,0,0
477,2,2,2,9.938598637404539e-07,2,2,0,0
478,5,5,5,1.4311682132728265e-06,5,5,0,0
479,9,9,9,1.792530212485488e-06,9,9,0,0
480,1,1,1,9.541186525297007e-07,1,1,0,0
481,9,9,9,1.1894592284455996e-06,9,9,0,0
482,7,7,7,1.9008056639790993e-06,7,7,0,0
483,5,5,5,9.580737305725506e-07,5,5,0,0
484,4,4,4,9.557421876138505e-07,4,4,0,0
485,0,0,0,2.0280142212225627e-06,0,0,0,0
486,8,8,8,3.827233886255499e-06,8,8,0,0
487,9,9,9,1.907409668433502e-06,9,9,0,0
488,9,9,9,9.508062746022006e-07,9,9,0,0
489,1,1,1,1.9092639158557745e-06,1,1,0,0
490,0,4,4,1.4323181152242626e-06,4,4,0,0
491,5,5,5,1.878369140229097e-06,5,5,0,0
492,2,2,2,3.807312012327202e-06,2,2,0,0
493,3,3,3,2.023244018545256e-06,3,3,0,0
494,7,7,7,1.9088378904186243e-06,7,7,0,0
495,8,0,0,2.8451293943021483e-06,0,0,0,0
496,9,9,9,1.9112719726877003e-06,9,9,0,0
497,4,4,4,1.911577148128174e-06,4,4,0,0
498,0,0,0,1.9057397455668479e-06,0,0,0,0
499,6,6,6,1.4341381833204991e-06,6,6,0,0
500,3,3,3,1.932739259302707e-06,3,3,0,0
501,9,9,9,1.942541503652251e-06,9,9,0,0
